"measurement_id","nodeName","nodeLabel","nodeTitle","Alt1RefId","Alt2RefId","Alt3RefId","nodeSpecies","NodeDataType","Pipeline"
"IGHM_2_proteomics",,"IGHM_2 : P04220","IGHM_2 [ENSP?]","P04220",,,"Protein","proteomics","proteomics"
"VWF_P_proteomics","ENSP00000261405","VWF : P04275","VWF [ENSP00000261405]","P04275","ENST00000261405","ENSG00000110799","Protein","proteomics","proteomics"
"SHBG_proteomics","ENSP00000369816","SHBG : P04278","SHBG [ENSP00000369816]","P04278","ENST00000380450","ENSG00000129214","Protein","proteomics","proteomics"
"IGKV3.11_proteomics",,"IGKV3.11 : P04433","IGKV3.11 [ENSP?]","P04433",,,"Protein","proteomics","proteomics"
"IGHV2.70_proteomics",,"IGHV2.70 : P04438","IGHV2.70 [ENSP?]","P04438",,,"Protein","proteomics","proteomics"
"APOD_proteomics","ENSP00000345179","APOD : P05090","APOD [ENSP00000345179]","P05090","ENST00000343267","ENSG00000189058","Protein","proteomics","proteomics"
"SERPINA5_proteomics","ENSP00000333203","SERPINA5 : P05154","SERPINA5 [ENSP00000333203]","P05154","ENST00000329597","ENSG00000188488","Protein","proteomics","proteomics"
"SERPING1_proteomics","ENSP00000278407","SERPING1 : P05155","SERPING1 [ENSP00000278407]","P05155","ENST00000278407","ENSG00000149131","Protein","proteomics","proteomics"
"CFI_proteomics","ENSP00000378130","CFI : P05156","CFI [ENSP00000378130]","P05156","ENST00000394634","ENSG00000205403","Protein","proteomics","proteomics"
"F13B_proteomics","ENSP00000356382","F13B : P05160","F13B [ENSP00000356382]","P05160","ENST00000367412","ENSG00000143278","Protein","proteomics","proteomics"
"CLEC3B_proteomics","ENSP00000296130","CLEC3B : P05452","CLEC3B [ENSP00000296130]","P05452","ENST00000296130","ENSG00000163815","Protein","proteomics","proteomics"
"SERPINA7_proteomics","ENSP00000329374","SERPINA7 : P05543","SERPINA7 [ENSP00000329374]","P05543","ENST00000327674","ENSG00000123561","Protein","proteomics","proteomics"
"SERPIND1_proteomics","ENSP00000215727","SERPIND1 : P05546","SERPIND1 [ENSP00000215727]","P05546","ENST00000215727","ENSG00000099937","Protein","proteomics","proteomics"
"BCHE_proteomics","ENSP00000264381","BCHE : P06276","BCHE [ENSP00000264381]","P06276","ENST00000264381","ENSG00000114200","Protein","proteomics","proteomics"
"IGKV2.30_proteomics",,"IGKV2.30 : P06310","IGKV2.30 [ENSP?]","P06310",,,"Protein","proteomics","proteomics"
"IGLV1.51_proteomics",,"IGLV1.51 : P06316","IGLV1.51 [ENSP?]","P06316",,,"Protein","proteomics","proteomics"
"IGLV6.57_proteomics",,"IGLV6.57 : P06319","IGLV6.57 [ENSP?]","P06319",,,"Protein","proteomics","proteomics"
"IGHV4.34_proteomics",,"IGHV4.34 : P06331","IGHV4.34 [ENSP?]","P06331",,,"Protein","proteomics","proteomics"
"GSN_proteomics","ENSP00000362924","GSN : P06396","GSN [ENSP00000362924]","P06396","ENST00000373818","ENSG00000148180","Protein","proteomics","proteomics"
"C2_proteomics","ENSP00000299367","C2 : P06681","C2 [ENSP00000299367]","P06681","ENST00000299367","ENSG00000166278","Protein","proteomics","proteomics"
